Filename,Game Version,SHA1 Hash
avcodec-56.dll,1.4.3,7AEC5843CA48118C0F04A0283C958AD5158443C4
avformat-56.dll,1.4.3,48B90667397FDADC6E38801FBD65DBF753BC44F5
avutil-54.dll,1.4.3,B18C894777F8DBDC7C0B10D541B744CF3AAFCA65
game.kpf,1.4.3,6ECB38D797870373B0A7B42F80AC82CA3005AF12
movies\NightDive.avi,1.4.3,AE31374B04F4ADEC0B26B1136CA24F8EECB9D4CE
music\track01.ogg,1.4.3,76015AA27BD278A85E70E68DAD57E292DC845AA1
music\track02.ogg,1.4.3,80EE5C95B5A47B9B8B0574E116F4ECD2EFA1E231
music\track03.ogg,1.4.3,6343040661F64AA0BEC401F9AB46E53FEF85F2CC
music\track04.ogg,1.4.3,8F796643B7D97173079DE00F3C918D9EA0CA8D3C
music\track05.ogg,1.4.3,5874F96D7737ACF081A609860ED3B311A0CC6C98
music\track06.ogg,1.4.3,BE5BE7434C187C476EC2FF0A29DA13EA962F0434
music\track07.ogg,1.4.3,AE4A01B1103847FAB392E7BF8700FE7D546B439C
music\track08.ogg,1.4.3,4DC47A50F2A13B931D196A0A41563E585756D759
music\track09.ogg,1.4.3,4DD38BD04EFFD8EA386014976AC1F6EE98C204F3
music\track10.ogg,1.4.3,E600FE89023E79175A1CB73E2D35A6C8013C81DC
music\track11.ogg,1.4.3,EF22617CDA747E0CF2BA025C23EDBD101476EA47
music\track12.ogg,1.4.3,F270485E28316FCDB7D04AC04D97B6B4983241C4
music\track13.ogg,1.4.3,222D96DADDA213D9E79E16583B3E631822E4452B
music\track14.ogg,1.4.3,1F0F8323797A7D0BECCC0944E17C333E9D564B5F
OpenAL32.dll,1.4.3,FEBC44B139687703100473FC872ADEE339DD79B1
SDL2.dll,1.4.3,FB8B1BA166913C18EB00F8CA53439D0F4EE54359
sobek.exe,1.4.3,1380D52BA272299E4615933E1F7B5550EFAE45F9
splash\splash.bmp,1.4.3,030F94832BF5E4772FB99D1E0D57C7DB3768FCA7
steam_api.dll,1.4.3,C4BA8EF91B9F3712E83B54DDF24945E2C7FBED45
swresample-1.dll,1.4.3,F146D373BACCA68C7C4BF5490CCD79E1210FF0B6
swscale-3.dll,1.4.3,086513A34B51CC330C34F667DBF81B2D4A4C9AA5
avcodec-56.dll,1.4.3 Update #1,7AEC5843CA48118C0F04A0283C958AD5158443C4
avformat-56.dll,1.4.3 Update #1,48B90667397FDADC6E38801FBD65DBF753BC44F5
avutil-54.dll,1.4.3 Update #1,B18C894777F8DBDC7C0B10D541B744CF3AAFCA65
game.kpf,1.4.3 Update #1,365D671B23D1564864096CB5E8BDE79C857984C9
movies\NightDive.avi,1.4.3 Update #1,AE31374B04F4ADEC0B26B1136CA24F8EECB9D4CE
music\track01.ogg,1.4.3 Update #1,76015AA27BD278A85E70E68DAD57E292DC845AA1
music\track02.ogg,1.4.3 Update #1,80EE5C95B5A47B9B8B0574E116F4ECD2EFA1E231
music\track03.ogg,1.4.3 Update #1,6343040661F64AA0BEC401F9AB46E53FEF85F2CC
music\track04.ogg,1.4.3 Update #1,8F796643B7D97173079DE00F3C918D9EA0CA8D3C
music\track05.ogg,1.4.3 Update #1,5874F96D7737ACF081A609860ED3B311A0CC6C98
music\track06.ogg,1.4.3 Update #1,BE5BE7434C187C476EC2FF0A29DA13EA962F0434
music\track07.ogg,1.4.3 Update #1,AE4A01B1103847FAB392E7BF8700FE7D546B439C
music\track08.ogg,1.4.3 Update #1,4DC47A50F2A13B931D196A0A41563E585756D759
music\track09.ogg,1.4.3 Update #1,4DD38BD04EFFD8EA386014976AC1F6EE98C204F3
music\track10.ogg,1.4.3 Update #1,E600FE89023E79175A1CB73E2D35A6C8013C81DC
music\track11.ogg,1.4.3 Update #1,EF22617CDA747E0CF2BA025C23EDBD101476EA47
music\track12.ogg,1.4.3 Update #1,F270485E28316FCDB7D04AC04D97B6B4983241C4
music\track13.ogg,1.4.3 Update #1,222D96DADDA213D9E79E16583B3E631822E4452B
music\track14.ogg,1.4.3 Update #1,1F0F8323797A7D0BECCC0944E17C333E9D564B5F
OpenAL32.dll,1.4.3 Update #1,FEBC44B139687703100473FC872ADEE339DD79B1
SDL2.dll,1.4.3 Update #1,FB8B1BA166913C18EB00F8CA53439D0F4EE54359
sobek.exe,1.4.3 Update #1,3469037C0FFB131C0B854F79351A4B9BFA9792EC
